,original_glcm_Idm,original_glszm_LargeAreaHighGrayLevelEmphasis,original_shape_SurfaceVolumeRatio,original_gldm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_ngtdm_Busyness,original_glcm_InverseVariance,original_glrlm_RunLengthNonUniformity,original_glcm_Imc1,original_gldm_DependenceEntropy,original_glszm_ZoneEntropy,original_glcm_JointEnergy,original_shape_LeastAxisLength,original_gldm_DependenceNonUniformity,original_glrlm_LongRunEmphasis,original_glcm_Id,original_glcm_Correlation,original_ngtdm_Coarseness,original_glrlm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glrlm_ShortRunEmphasis,original_glcm_JointEntropy,original_glszm_GrayLevelNonUniformity,original_shape_MajorAxisLength,original_shape_MinorAxisLength,original_firstorder_Uniformity,original_glcm_Idn,original_gldm_LargeDependenceEmphasis,original_glcm_Idmn,original_firstorder_Kurtosis,original_glrlm_RunEntropy,original_shape_Sphericity,original_glrlm_RunVariance,original_shape_VoxelVolume,original_glrlm_RunLengthNonUniformityNormalized,original_firstorder_Entropy,original_shape_Maximum2DDiameterRow,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_shape_Maximum2DDiameterSlice,original_shape_MeshVolume,original_glcm_MCC,original_glrlm_RunPercentage,original_shape_Maximum3DDiameter,original_shape_SurfaceArea,original_shape_Maximum2DDiameterColumn,original_glcm_Imc2
Patient 1,1.0279517176922472,1.2472751728539635,1.0,1.0682510687771802,1.062356052282854,1.0790982303062515,1.0283770163342931,0.9923767539635837,1.004665814808705,1.0003571892351735,1.003597707897925,1.1298078449501514,1.0,0.9759656891879076,1.010147619891597,1.0206880609215059,1.0013496713558112,0.9799093951294547,1.0592293260776797,0.9809431818433627,0.9980347334161778,0.9894314487162832,0.9462597410191248,1.0,1.0,1.068251073986076,1.0017371956054621,1.0487816611430005,1.0006100617313913,1.0600640583188394,0.9952810696626231,1.0,1.0493737358118913,1.0,0.9953181585654066,0.9916788451643291,1.0,1.1809184882825368,0.989688947547019,1.0,1.0,1.0082528000876658,0.997013517792189,1.0,1.0,1.0,0.9986877100078327
Patient 10,1.0215609772851362,1.4128573328984786,1.0121487989728315,0.9426840036818245,0.9677305065921347,0.700451464344546,1.0325322283922937,0.9697830464834645,1.1163040481571598,1.0134368058709529,1.0043986947118062,0.9803828298580797,1.0088720362457761,0.9659960959823333,1.001789773219849,1.0128424419954325,1.0374942153102331,1.0434845702388227,0.9397942056727957,0.9513847236890483,0.9993918222055751,1.0076099747332943,0.9414202836447617,0.9851374737677269,0.9770370786299335,0.9698692826434062,1.0028739341623625,1.048203124228345,1.0010252796540418,1.0714775834811856,1.0142097207233087,0.9974422416445047,1.0029557224451735,0.9719701554090148,0.9986199315607117,1.0145722231779974,1.0,1.1713026057004998,1.0157092920136965,1.0,0.9718598409962695,1.0450425756929296,0.9990994246278383,1.0,0.9836667723353857,0.9706768340410415,1.0252634175382083
Patient 11,0.9859786280334818,4.026667474588204,0.7801131492981841,1.0075549052912653,0.964433112185603,0.7516213256002735,0.9883277686710902,1.0316457621138255,1.0168736598992705,1.0110451702492753,0.9991355149888582,0.958617897233012,1.0128708063369702,1.006048271690862,1.010431953647035,0.989200971367961,0.9965306604619113,0.964779646030457,0.9994090217475119,0.8659955936664882,0.9983275938381753,1.0126747294157084,0.8964598089951678,1.0341384125353321,0.8249340888472414,0.9696338774829598,1.0048820071077644,1.0216906819450189,1.0010980206199205,1.1589359678249087,1.0244648009551867,1.2650495157720498,1.0405064311607632,1.039108605696366,0.9959099407810408,1.024353677148744,0.9341736520841855,0.9424323985425483,1.0124665747228916,0.9168438777328596,1.040410263936752,0.9973528547115739,0.997162138030931,1.0286270726272073,0.8116377287802986,1.0208936213178554,1.0109534255075645
Patient 12,0.9191511108544207,0.6471435673303865,0.9689095995890736,0.8325247306114631,0.7997774996163658,0.7389653478783715,0.9278668259689149,1.1088411356566399,1.167774081913112,1.030306031191318,1.0640963041020406,0.6577596306272029,1.030792567042676,1.2214073131538026,0.9595046054119202,0.9456137184222521,1.074870788334516,1.0783769695424885,0.8633439852954826,0.8704056248266515,1.0111549915124323,1.0602166271578697,0.9614114514852471,1.0021757834115907,1.024652159912191,0.7830690218060423,1.0023727782831287,0.8416725908683069,1.0013161630132592,0.7809171236865062,1.0470933870780705,1.0111506358555609,0.8803841904227356,1.0631562695561327,1.026653083757137,1.0697108411327851,1.0,0.6284106298273305,1.0669872884109892,1.0431851676660966,1.063414665507393,1.048969404807547,1.015409448999682,1.0,1.0303526779093755,1.0,1.054130162492341
Patient 13,0.909380342357996,0.6106193956026078,1.0043339044856325,0.8902427168577075,0.8884448557527881,0.8897079898886687,0.9160101210826915,1.043870189895595,0.945330901216509,1.0009546962140834,0.9936257838332461,0.7588849147878542,0.9997277392099292,1.0824697785002955,0.9616578974961354,0.9371338232244423,0.9699836024357135,0.9752459006300227,0.909067272524792,0.9609411898064656,1.0084435161748428,1.0352032038945973,1.1241840469740247,1.0270872204071593,0.9906675965122069,0.8807971824945299,0.996752884106389,0.8320264266257925,0.9992535455513706,0.9159415390078257,1.0162771192310371,0.992153742995798,0.84254633241658,1.0107238603983129,1.0202687053583237,1.0295248703328788,1.0228829322162483,0.7231066256946214,1.025482474484803,1.0,1.0107149791034846,0.9928708913893671,1.0124209084820894,1.0224747162263657,1.0150953214465235,1.0268647265574433,0.9921059995059949
Patient 14,0.9839321206303879,0.8398821492474933,1.0116740967185838,1.0015844100638982,1.0095669928917197,1.073334666009869,0.9893189391455238,1.0110797700686405,0.9500143791648051,0.9848066499712499,0.9870950871877903,0.9015524938087078,0.9985201351396358,1.0245957862414616,0.9883222632076499,0.9966632668313878,0.9751712514051801,0.9547737374273358,1.0167168873137713,1.0992214353583751,1.001660042405887,0.9916157424380541,1.0938375025842182,1.0240799103465328,0.9885449775568369,0.9973111455764759,0.998448429060837,0.9244049892766927,1.000311170468869,1.076364033115632,0.9821405567529203,0.987095768725357,0.9229945686520356,1.0042847725006967,1.0040248486264816,0.98352086113264,1.0353238260684061,0.8834488772792567,0.9925459483816876,1.0,1.004153801611645,0.9726599860525417,1.00288473531958,1.0252623033555799,1.015876390306548,1.0270725624067056,0.9869295255505214
Patient 15,1.080585975968149,1.5732211157621236,0.9942819116316151,0.9422657482235182,0.9201919401915888,0.9100293778735049,1.0731682186179496,0.9970557898165443,1.2913585434903667,1.0280200780521742,1.0209664701900802,0.9938076061193867,1.0103826488379033,0.9552378525997105,1.0277380835592413,1.0530401263358224,1.118533013454661,1.1414987395862153,0.9327363409226717,0.9273832702483497,0.9931836015872275,1.0009286425244484,0.8455242825957612,1.0168951992098567,0.9986823376189734,0.9208603091270999,1.009060012836163,1.1586621503700005,1.0025167731784514,1.0343252737917867,1.0273280019202764,0.9980498252903596,1.1254240871493624,1.0232450452270958,0.9836200728349588,1.0221801666262667,1.0186165214005949,0.9782897513201279,1.0223001506907012,1.0,1.0233276796124657,1.1111063366539384,0.9905773696802095,1.0184304122081997,1.0174761975965592,1.0,1.0759281687276239
Patient 17,0.8979338477620548,1.1209101125072447,1.0,0.8182899583489822,0.8290437673043557,0.5945928202471917,0.9114363806711306,1.0326979547824866,1.0913339649272853,1.0160464129543954,1.0194523019513022,0.6667279193870518,1.0,1.1088665027657183,0.9631377507082816,0.9309083789788625,1.0318456347510276,1.0706854754652662,0.8390136005860627,0.8919547941399693,1.008407033879675,1.0510336654795804,0.9840687393043772,1.0,1.0,0.8182899668321919,0.9989441585392781,0.7905580082182055,0.9997480053809259,0.8978873878851797,1.0371300661680645,1.0,0.8172238600242037,1.0,1.020524899045645,1.052381115737143,1.0,0.5887986431854901,1.051286211098431,1.0,1.0,1.0293404418609544,1.0120732975434528,1.0,1.0,1.0,1.0410708723234758
Patient 18,1.0259271511496906,0.984015762716312,0.9739695055674824,1.0683642431322928,0.996548173806146,0.8977390392800926,1.0135455988404547,1.0513802754182098,1.0724446515312518,1.0086601223642089,0.9998778923185991,1.0825338425588267,1.0005481482910443,1.0180802017824513,1.0107147281324864,1.0167513023515802,1.054194747431245,0.9814924606649638,1.0563037757371623,0.9753107536796016,0.9966675093193985,0.9940597569453472,1.014781537035414,1.003290739269736,1.0623863457555562,1.0039415995669712,1.0090110503022671,1.0988659050332417,1.0028605946817626,1.1902041127760674,1.0074707111051873,1.0055245909947064,1.0483158585493801,1.0641697220498154,0.9917195664815242,1.004025347543756,1.0426886174010854,1.1613533122126236,0.9984263094094026,1.0388734331327834,1.0645984549769574,1.0676443339069435,0.9961235233882324,1.0,1.036886432278013,1.0212225234617511,1.0204377627396644
Patient 19,1.0174136343148348,0.95361731371905,1.0094126680065005,0.9358198399473064,0.9652936909452794,0.9969427560198055,1.0098428692182109,0.961506444593117,1.086738641652669,1.0148441758349855,0.9946659286984275,0.9675131222189672,0.9902031625178654,0.9322223491890969,1.0121847644788835,1.009519038564811,1.0195622661368808,1.0688651237697377,0.9333262579057144,1.0109091569959818,0.9974163361379784,1.008107635308972,1.0056249365424046,0.9929473797736235,0.9842132684937641,0.9642505683790947,0.9941298156322723,1.059891934913233,0.9983090029279653,0.8725736096425295,1.0121302926405698,1.0005865136442524,1.0437394433196427,0.9705152079439668,0.9941899085211097,1.011519385714761,0.9872101923339843,0.9664519102570042,1.0142452348694382,0.9911532796825978,0.9705765923886068,1.0375961278286376,0.9961813258851893,0.9973383716586874,0.9797123074503802,0.9971597971487821,1.0277640102170302
